City,Airport,IATA Siglum,URL,Latitude,Longitude
Poland,Koszalin Zegrze Pomorskie Airport,OSZ/EPKO,https://www.flightradar24.com/data/airports/osz,54.0425,16.2656
Poland,Krakow John Paul II International Airport,KRK/EPKK,https://www.flightradar24.com/data/airports/krk,50.077728,19.78483
Poland,Lodz Wladyslaw Reymont Airport,LCJ/EPLL,https://www.flightradar24.com/data/airports/lcj,51.721882,19.39813
Poland,Lublin Airport,LUZ/EPLB,https://www.flightradar24.com/data/airports/luz,51.240002,22.713333
Poland,Olsztyn Mazury Airport,SZY/EPSY,https://www.flightradar24.com/data/airports/szy,53.481899,20.9377
Martinique,Martinique Aime Cesaire International Airport,FDF/TFFF,https://www.flightradar24.com/data/airports/fdf,14.59222,-60.9963
Iceland,Akureyri Airport,AEY/BIAR,https://www.flightradar24.com/data/airports/aey,65.658607,-18.072201
Niger,Niamey Diori Hamani International Airport,NIM/DRRN,https://www.flightradar24.com/data/airports/nim,13.48154,2.183614
Iceland,Bildudalur Airport,BIU/BIBD,https://www.flightradar24.com/data/airports/biu,65.641388,-23.54611
Iceland,Egilsstadir Airport,EGS/BIEG,https://www.flightradar24.com/data/airports/egs,65.283333,-14.4013
Iceland,Grimsey Airport,GRY/BIGR,https://www.flightradar24.com/data/airports/gry,66.554718,-18.0175
Iceland,Hofn Hornafjordur Airport,HFN/BIHN,https://www.flightradar24.com/data/airports/hfn,64.295547,-15.2272
Iceland,Husavik Airport,HZK/BIHU,https://www.flightradar24.com/data/airports/hzk,65.952499,-17.4258
Iceland,Isafjordur Airport,IFJ/BIIS,https://www.flightradar24.com/data/airports/ifj,66.058052,-23.135201
Iceland,Nordfjordur Airport,NOR/BINF,https://www.flightradar24.com/data/airports/nor,65.131943,-13.7463
Iceland,Keflavik International Airport,KEF/BIKF,https://www.flightradar24.com/data/airports/kef,63.985001,-22.605499
Iceland,Reykjavik Airport,RKV/BIRK,https://www.flightradar24.com/data/airports/rkv,64.12999,-21.9405
Iceland,Thorshofn Airport,THO/BITN,https://www.flightradar24.com/data/airports/tho,66.21833,-15.3347
Iceland,Vestmannaeyjar Airport,VEY/BIVM,https://www.flightradar24.com/data/airports/vey,63.424999,-20.2791
